Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,obs_record1,obs_record2,obs_record3,obs_record4,obs_record5
Lyonia ovalifolia,9.98333,9,14.2193,27.6655,5.88105,1362,127.625,TRUE,GBIF_BGCI=2891,GBIF_CURRENT=1918,,URBANPLANTS=8,PLANTSEARCH=27
Magnolia biondii,9.98333,9,13.325,28.928,2.55716,762.25,64,TRUE,GBIF_BGCI=7,GBIF_CURRENT=3,,URBANPLANTS=5,PLANTSEARCH=56
Magnolia chevalieri,9.98333,9,19.6573,29.3,13.2528,1525,102,TRUE,GBIF_BGCI=5,GBIF_CURRENT=2,,PLANTSEARCH=6,
Magnolia cylindrica,9.98333,9,14.3079,28.6281,4.86189,1445.25,164,TRUE,GBIF_BGCI=19,,GBIF_CURRENT=57,URBANPLANTS=2,PLANTSEARCH=79
Magnolia dawsoniana,9.98333,9,13.0375,25.3667,5.35,1016.33,84,TRUE,GBIF_BGCI=4,,GBIF_CURRENT=18,PLANTSEARCH=32,
Magnolia denudata,9.98333,9,15.4261,30.076,5.05731,1205.25,136.25,TRUE,GBIF_BGCI=19,GBIF_CURRENT=14,,URBANPLANTS=44,PLANTSEARCH=142
Magnolia ernestii,9.98333,9,13.4783,25.9011,5.43921,1434,121.875,TRUE,GBIF_BGCI=17,GBIF_CURRENT=8,,URBANPLANTS=1,PLANTSEARCH=16
Magnolia fraseri,9.98333,9,11.7111,27.5993,2.61955,1268.5,262.333,TRUE,GBIF_BGCI=158,GBIF_CURRENT=453,,PLANTSEARCH=6,
Magnolia grandiflora,9.98333,9,16.6733,30.989,8.0865,1111.5,192.75,TRUE,GBIF_BGCI=55,GBIF_CURRENT=3768,,URBANPLANTS=17,PLANTSEARCH=237
Magnolia insignis,9.98333,9,14.0638,24.0521,7.12931,1304.62,101.875,TRUE,GBIF_BGCI=15,GBIF_CURRENT=97,,URBANPLANTS=2,PLANTSEARCH=35
Magnolia laevifolia,9.98333,9,14.8026,24.728,8.334,942.75,73.75,TRUE,GBIF_BGCI=172,GBIF_CURRENT=3,,URBANPLANTS=1,PLANTSEARCH=31
Magnolia macrophylla,9.98333,9,14.3672,30.877,4.60917,1242.25,247,TRUE,GBIF_BGCI=19,GBIF_CURRENT=733,,URBANPLANTS=1,PLANTSEARCH=14
Magnolia nitida,9.98333,9,14.4635,24.55,7.77778,1348,120.167,TRUE,GBIF_BGCI=49,,GBIF_CURRENT=43,PLANTSEARCH=9,
Magnolia officinalis,9.98333,9,14.8917,29.892,5.51583,1219,110,TRUE,GBIF_BGCI=36,,GBIF_CURRENT=217,URBANPLANTS=9,PLANTSEARCH=77
Magnolia sapaensis,9.98333,9,12.1114,21.1333,6.3,1614,69.6667,TRUE,GBIF_BGCI=5,,GBIF_CURRENT=8,PLANTSEARCH=16,
Magnolia sargentiana,9.98333,9,12.95,25.3261,4.96212,1230.25,109.5,TRUE,GBIF_BGCI=11,,GBIF_CURRENT=41,URBANPLANTS=1,PLANTSEARCH=2
Magnolia sprengeri,9.98333,9,14.3055,29.1235,4.6994,1198.12,111.375,TRUE,GBIF_BGCI=4,GBIF_CURRENT=42,,URBANPLANTS=4,PLANTSEARCH=44
Magnolia tripetala,9.98333,9,12.8333,29.514,2.86375,1108.5,231.75,TRUE,GBIF_BGCI=151,GBIF_CURRENT=187,,URBANPLANTS=6,PLANTSEARCH=168
Magnolia virginiana,9.98333,9,14.4431,30.9425,4.38017,1179.5,230.5,TRUE,GBIF_BGCI=319,GBIF_CURRENT=138,,URBANPLANTS=14,PLANTSEARCH=172
Magnolia wilsonii,9.98333,9,13.4539,25.116,7.38333,834.125,91.75,TRUE,GBIF_BGCI=5,,GBIF_CURRENT=32,URBANPLANTS=3,PLANTSEARCH=73
Magnolia zenii,9.98333,9,14.5801,30.7625,4.04981,1051.62,135.25,TRUE,GBIF_BGCI=11,,GBIF_CURRENT=17,URBANPLANTS=4,PLANTSEARCH=51
Mahonia bealei,9.98333,9,15.2041,29.7145,5.48292,1239.38,133.75,TRUE,GBIF_BGCI=98,GBIF_CURRENT=112,,URBANPLANTS=17,PLANTSEARCH=12
Malus doumeri,9.98333,9,17.0581,29.762,8.06917,1466.38,148.25,TRUE,GBIF_BGCI=288,GBIF_CURRENT=16,,URBANPLANTS=1,PLANTSEARCH=18
Malus halliana,9.98333,9,14.7014,28.0565,5.01308,1049.12,98.25,TRUE,GBIF_BGCI=77,GBIF_CURRENT=73,,URBANPLANTS=24,PLANTSEARCH=43
Meliosma alba,9.98333,9,14.2524,25.0947,8.87879,1249.83,112.5,TRUE,GBIF_BGCI=13,GBIF_CURRENT=142,,PLANTSEARCH=7,
Meliosma oldhamii,9.98333,9,14.6908,29.9885,4.1285,1323,130,TRUE,GBIF_BGCI=95,GBIF_CURRENT=9,,URBANPLANTS=3,PLANTSEARCH=22
Melliodendron xylocarpum,9.98333,9,15.2783,28.5165,6.81783,1234.88,132.25,TRUE,GBIF_BGCI=165,GBIF_CURRENT=55,,URBANPLANTS=1,PLANTSEARCH=27
Metapanax davidii,9.98333,9,15.0888,27.143,6.7405,1051.5,72.25,TRUE,GBIF_BGCI=51,GBIF_CURRENT=134,,URBANPLANTS=1,PLANTSEARCH=17
Metasequoia glyptostroboides,9.98333,9,12.9763,28.728,3.441,1121.5,155,TRUE,GBIF_BGCI=11,,GBIF_CURRENT=4769,URBANPLANTS=87,PLANTSEARCH=355
Myrceugenia ovata,9.98333,9,13.7063,23.002,9.27956,1431.33,203.5,TRUE,GBIF_BGCI=34,GBIF_CURRENT=185,,PLANTSEARCH=6,
Myrtus communis,9.98333,9,15.2857,28.737,8.8168,650.5,53,TRUE,GBIF_BGCI=8838,GBIF_CURRENT=14729,,URBANPLANTS=15,PLANTSEARCH=176
Neolitsea sericea,9.98333,9,14.1294,28.8925,5.077,1393.62,176.5,TRUE,GBIF_BGCI=986,GBIF_CURRENT=647,,URBANPLANTS=2,PLANTSEARCH=74
Neoshirakia japonica,9.98333,9,13.6379,28.296,4.78283,1377.62,162.375,TRUE,GBIF_BGCI=871,GBIF_CURRENT=522,,URBANPLANTS=2,PLANTSEARCH=27
Nolina hibernica,9.98333,9,14.0058,23.6,9.30557,593.333,79.6667,TRUE,GBIF_BGCI=7,GBIF_CURRENT=16,,PLANTSEARCH=6,
Nothofagus antarctica,9.98333,9,8.40143,20.9801,3.131,930.5,127.25,TRUE,GBIF_BGCI=154,GBIF_CURRENT=297,,URBANPLANTS=3,PLANTSEARCH=89
Nyssa sinensis,9.98333,9,16.3972,30.1965,6.86358,1346.25,151,TRUE,GBIF_BGCI=325,GBIF_CURRENT=152,,URBANPLANTS=6,PLANTSEARCH=6
Opuntia galapageia,9.98333,9,19.8844,28.3667,15.3917,441.833,63.3333,TRUE,GBIF_BGCI=32,,GBIF_CURRENT=1466,PLANTSEARCH=22,
Orixa japonica,9.98333,9,13.3003,28.581,3.71575,1323.12,161.25,TRUE,GBIF_BGCI=661,GBIF_CURRENT=38,,URBANPLANTS=2,PLANTSEARCH=1
Osmanthus heterophyllus,9.98333,9,13.3781,27.115,6.10933,1238.25,172,TRUE,GBIF_BGCI=56,GBIF_CURRENT=594,,URBANPLANTS=5,PLANTSEARCH=12
Osmanthus serrulatus,9.98333,9,13.6979,25.9667,5.26667,1049,82.8333,TRUE,GBIF_BGCI=13,GBIF_CURRENT=13,,PLANTSEARCH=21,
Osmanthus suavis,9.98333,9,11.7427,16.6667,5.58332,633,70,TRUE,GBIF_BGCI=7,GBIF_CURRENT=1,,PLANTSEARCH=2,
Ostrya carpinifolia,9.98333,9,11.5181,24.6231,4.47354,920,148.25,TRUE,GBIF_BGCI=2993,GBIF_CURRENT=2627,,URBANPLANTS=3,PLANTSEARCH=156
Oxydendrum arboreum,9.98333,9,13.1757,30.459,3.52092,1163.25,238.625,TRUE,GBIF_BGCI=248,GBIF_CURRENT=1113,,URBANPLANTS=13,PLANTSEARCH=146
Parrotia subaequalis,9.98333,9,14.6057,30.35,4.03333,1038.83,137.333,TRUE,GBIF_BGCI=3,,GBIF_CURRENT=1,PLANTSEARCH=5,
Paulownia fargesii,9.98333,9,14.6428,27.416,6.0725,1080,91.25,TRUE,GBIF_BGCI=78,GBIF_CURRENT=47,,URBANPLANTS=2,PLANTSEARCH=24
Paulownia kawakamii,9.98333,9,16.6018,28.7595,8.84576,1606.38,161.5,TRUE,GBIF_BGCI=21,,GBIF_CURRENT=194,URBANPLANTS=2,PLANTSEARCH=26
Phillyrea latifolia,9.98333,9,13.4001,27.192,6.53344,700.333,107.667,TRUE,GBIF_BGCI=13743,GBIF_CURRENT=7994,,PLANTSEARCH=92,
Phoebe sheareri,9.98333,9,16.9326,30.6555,6.75425,1345.12,142.75,TRUE,GBIF_BGCI=365,GBIF_CURRENT=159,,URBANPLANTS=8,PLANTSEARCH=15
Photinia beauverdiana,9.98333,9,15.4692,29.084,6.08058,1317,136.5,TRUE,GBIF_BGCI=696,GBIF_CURRENT=34,,URBANPLANTS=5,PLANTSEARCH=45
Photinia serratifolia,9.98333,9,15.6924,29.314,7.23358,1064.12,130.625,TRUE,GBIF_BGCI=762,GBIF_CURRENT=186,,URBANPLANTS=44,PLANTSEARCH=53
Photinia villosa,9.98333,9,13.9668,28.8762,4.30167,1311.62,162.375,TRUE,GBIF_BGCI=926,GBIF_CURRENT=113,,URBANPLANTS=2,PLANTSEARCH=18
Picea abies,9.98333,9,7.80089,23.641,-0.453499,781,141,TRUE,GBIF_BGCI=21341,GBIF_CURRENT=55864,,URBANPLANTS=71,PLANTSEARCH=265
Picea breweriana,9.98333,9,8.49646,23.258,3.18567,1130.25,108.25,TRUE,GBIF_BGCI=289,,GBIF_CURRENT=513,URBANPLANTS=1,PLANTSEARCH=93
Picea crassifolia,9.98333,9,5.95295,24.031,-4.7855,574.75,51,TRUE,GBIF_BGCI=22,GBIF_CURRENT=28,,URBANPLANTS=2,PLANTSEARCH=29
Picea engelmannii,9.98333,9,5.92987,24.054,-2.355,625.75,98.25,TRUE,GBIF_BGCI=393,GBIF_CURRENT=91,,URBANPLANTS=7,PLANTSEARCH=18
Picea glauca,9.98333,9,6.36495,24.7305,-3.71756,847.125,144.375,TRUE,GBIF_BGCI=1414,GBIF_CURRENT=594,,URBANPLANTS=35,PLANTSEARCH=171
Picea jezoensis,9.98333,9,7.49955,24.256,-3.22956,1089.88,161,TRUE,GBIF_BGCI=222,GBIF_CURRENT=318,,URBANPLANTS=2,PLANTSEARCH=77
Picea koraiensis,9.98333,9,4.45403,24.6615,-9.75082,698,56,TRUE,GBIF_BGCI=13,GBIF_CURRENT=57,,URBANPLANTS=14,PLANTSEARCH=5
Picea mariana,9.98333,9,5.4967,24.7579,-5.79215,869.625,158.875,TRUE,GBIF_BGCI=175,GBIF_CURRENT=261,,URBANPLANTS=1,PLANTSEARCH=122
Picea rubens,9.98333,9,6.90282,25.3915,-4.66883,1036,204.25,TRUE,GBIF_BGCI=911,GBIF_CURRENT=214,,URBANPLANTS=7,PLANTSEARCH=15
Picrasma quassioides,9.98333,9,12.8618,28.216,3.175,1068.17,130.333,TRUE,GBIF_CURRENT=455,,URBANPLANTS=2,PLANTSEARCH=52,
Pieris formosa,9.98333,9,14,24.8135,6.0575,1040.12,107.375,TRUE,GBIF_BGCI=538,GBIF_CURRENT=243,,URBANPLANTS=4,PLANTSEARCH=49
Pieris japonica,9.98333,9,13.276,26.638,4.94875,1436.62,174.75,TRUE,GBIF_BGCI=1124,GBIF_CURRENT=1778,,URBANPLANTS=5,PLANTSEARCH=171
Pinus albicaulis,9.98333,9,3.95469,22.6667,-3.28333,832.5,115.833,TRUE,GBIF_BGCI=685,,GBIF_CURRENT=3246,PLANTSEARCH=26,
Pinus aristata,9.98333,9,5.09189,23.48,-2.73675,616.25,106.5,TRUE,GBIF_BGCI=116,GBIF_CURRENT=312,,URBANPLANTS=5,PLANTSEARCH=13
Pinus balfouriana,9.98333,9,4.93958,22.2167,-1.44444,745.5,72.1667,TRUE,GBIF_BGCI=49,,GBIF_CURRENT=573,PLANTSEARCH=12,
Pinus brutia,9.98333,9,15.0867,29.9095,7.42467,628.25,50,TRUE,GBIF_BGCI=26,GBIF_CURRENT=436,,URBANPLANTS=25,PLANTSEARCH=54
Pinus cembra,9.98333,9,5.7048,21.8225,-2.38008,984.875,170.875,TRUE,GBIF_BGCI=489,GBIF_CURRENT=287,,URBANPLANTS=6,PLANTSEARCH=172
Pinus flexilis,9.98333,9,7.16413,26.411,-1.4095,597.25,80.875,TRUE,GBIF_BGCI=787,GBIF_CURRENT=1194,,URBANPLANTS=1,PLANTSEARCH=17
Pinus halepensis,9.98333,9,14.4003,28.826,7.70866,533.5,74.25,TRUE,GBIF_BGCI=6917,GBIF_CURRENT=274,,URBANPLANTS=39,PLANTSEARCH=18
Pinus monticola,9.98333,9,7.57666,24.445,0.0470817,924.25,95,TRUE,GBIF_BGCI=669,,GBIF_CURRENT=3813,URBANPLANTS=7,PLANTSEARCH=85
Pinus mugo,9.98333,9,8.07305,23.308,0.49375,965.625,165.125,TRUE,GBIF_BGCI=12125,GBIF_CURRENT=1183,,URBANPLANTS=28,PLANTSEARCH=196
Pinus muricata,9.98333,9,13.6155,24.2465,9.48191,675.875,44.125,TRUE,GBIF_BGCI=916,,GBIF_CURRENT=18,URBANPLANTS=2,PLANTSEARCH=54
Pinus pinea,9.98333,9,14.6669,28.9735,8.44724,621.5,81.75,TRUE,GBIF_BGCI=187,GBIF_CURRENT=19346,,URBANPLANTS=34,PLANTSEARCH=158
Pinus resinosa,9.98333,9,7.24707,26.805,-4.625,933.75,174,TRUE,GBIF_BGCI=789,GBIF_CURRENT=2536,,URBANPLANTS=21,PLANTSEARCH=115
Pinus thunbergii,9.98333,9,14.0804,29.4765,4.84258,1250.62,153.625,TRUE,GBIF_BGCI=244,GBIF_CURRENT=487,,URBANPLANTS=46,PLANTSEARCH=139
Pinus uncinata,9.98333,9,7.86996,22.3015,1.4375,1056.38,180.875,TRUE,GBIF_BGCI=2964,GBIF_CURRENT=6753,,URBANPLANTS=1,PLANTSEARCH=43
Pinus virginiana,9.98333,9,13.1568,30.497,2.8665,1109.25,239,TRUE,GBIF_BGCI=4,GBIF_CURRENT=133,,URBANPLANTS=11,PLANTSEARCH=84
Pinus wallichiana,9.98333,9,11.5948,25.497,4.406,874.75,145.25,TRUE,URBANPLANTS=8,PLANTSEARCH=169,,,
Platanus orientalis,9.98333,9,15.2512,28.311,7.41707,727.625,96.375,TRUE,GBIF_BGCI=868,GBIF_CURRENT=1196,,URBANPLANTS=6,PLANTSEARCH=117
Platycarya strobilacea,9.98333,9,14.9278,29.4085,5.44633,1245.75,134.25,TRUE,GBIF_BGCI=71,GBIF_CURRENT=736,,URBANPLANTS=13,PLANTSEARCH=95
Podocarpus macrophyllus,9.98333,9,17.5477,29.7165,9.12484,1478,145.125,TRUE,GBIF_BGCI=573,,GBIF_CURRENT=812,URBANPLANTS=6,PLANTSEARCH=148
Poliothyrsis sinensis,9.98333,9,14.9469,29.698,5.1715,1140.5,110,TRUE,GBIF_BGCI=49,GBIF_CURRENT=56,,URBANPLANTS=5,PLANTSEARCH=9
Polyspora longicarpa,9.98333,9,13.9875,23.5667,7.58611,1114,89.3333,TRUE,GBIF_BGCI=62,GBIF_CURRENT=44,,PLANTSEARCH=19,
Polyspora speciosa,9.98333,9,15.2635,28.0333,6.81111,1045,83.1667,TRUE,GBIF_BGCI=5,GBIF_CURRENT=3,,PLANTSEARCH=13,
Populus tremuloides,9.98333,9,7.33388,26.5955,-3.649,808.875,114.25,TRUE,GBIF_BGCI=34,GBIF_CURRENT=949,,URBANPLANTS=28,PLANTSEARCH=98
Prunus armeniaca,9.98333,9,12.7818,28.0273,4.845,718.333,103.333,TRUE,GBIF_CURRENT=4946,,URBANPLANTS=62,PLANTSEARCH=6,
Prunus incisa,9.98333,9,12.5876,25.964,5.344,1073,163,TRUE,GBIF_CURRENT=377,,URBANPLANTS=1,PLANTSEARCH=56,
Prunus maackii,9.98333,9,4.67698,24.3925,-6.92391,699.375,91.5,TRUE,GBIF_BGCI=13,GBIF_CURRENT=125,,URBANPLANTS=11,PLANTSEARCH=86
Prunus subhirtella,9.98333,9,12.2137,27.96,3.42683,908,166.25,TRUE,URBANPLANTS=32,PLANTSEARCH=57,,,
Pseudolarix amabilis,9.98333,9,15.154,30.4045,4.82492,1243.62,162.25,TRUE,GBIF_BGCI=69,,GBIF_CURRENT=86,URBANPLANTS=14,PLANTSEARCH=151
Pseudotsuga sinensis,9.98333,9,14.8427,25.097,7.41942,1755,167.5,TRUE,GBIF_BGCI=328,,GBIF_CURRENT=239,URBANPLANTS=2,PLANTSEARCH=23
Pteroceltis tatarinowii,9.98333,9,14.7393,30.68,3.65175,1010.5,96.875,TRUE,GBIF_BGCI=15,GBIF_CURRENT=111,,URBANPLANTS=8,PLANTSEARCH=5
Pterostyrax psilophyllus,9.98333,9,14.7487,28.745,5.46842,1173.88,97.5,TRUE,GBIF_BGCI=16,,GBIF_CURRENT=129,URBANPLANTS=2,PLANTSEARCH=25
Punica granatum,9.98333,9,14.6692,30.3655,6.71317,734.25,84.5,TRUE,GBIF_BGCI=45,GBIF_CURRENT=2777,,URBANPLANTS=9,PLANTSEARCH=238
Pyracantha atalantioides,9.98333,9,15.1375,29.774,5.11883,1075.62,89.5,TRUE,GBIF_BGCI=187,GBIF_CURRENT=18,,URBANPLANTS=1,PLANTSEARCH=17
Pyrus calleryana,9.98333,9,15.4893,30.3995,5.44725,1128.62,165.125,TRUE,GBIF_BGCI=46,GBIF_CURRENT=3454,,URBANPLANTS=16,PLANTSEARCH=88
Quercus acuta,9.98333,9,12.892,27.36,4.10956,1464,177.333,TRUE,GBIF_BGCI=518,GBIF_CURRENT=238,,PLANTSEARCH=32,
Quercus chrysolepis,9.98333,9,13.4042,28.387,7.47225,689.125,37.75,TRUE,GBIF_BGCI=3299,GBIF_CURRENT=2158,,URBANPLANTS=5,PLANTSEARCH=56
Quercus ilex,9.98333,9,12.9853,26.721,6.66201,741.5,128.5,TRUE,GBIF_BGCI=34333,GBIF_CURRENT=31233,,URBANPLANTS=31,PLANTSEARCH=183
Quercus ithaburensis,9.98333,9,17.3729,29.6667,9.80888,632.333,42.5,TRUE,GBIF_BGCI=1458,GBIF_CURRENT=712,,PLANTSEARCH=31,
Quercus morii,9.98333,9,12.2713,21.4787,7.00622,2248.67,189.333,TRUE,GBIF_BGCI=371,GBIF_CURRENT=159,,PLANTSEARCH=6,
Quercus myrsinifolia,9.98333,9,13.0142,26.9321,4.72064,1374.25,158.375,TRUE,GBIF_BGCI=21,GBIF_CURRENT=32,,URBANPLANTS=2,PLANTSEARCH=72
Quercus oxyodon,9.98333,9,13.8334,26.5407,5.54267,1128.17,92.3333,TRUE,GBIF_BGCI=212,GBIF_CURRENT=135,,PLANTSEARCH=7,
Quercus phillyreoides,9.98333,9,14.7143,28.724,5.42033,1331.5,154.625,TRUE,GBIF_BGCI=93,GBIF_CURRENT=67,,URBANPLANTS=2,PLANTSEARCH=49
Quercus schottkyana,9.98333,9,14.3251,24.37,7.525,916,65.5,TRUE,GBIF_BGCI=542,GBIF_CURRENT=19,,URBANPLANTS=1,PLANTSEARCH=8
Quercus serrata,9.98333,9,13.7589,29.365,4.14633,1323,150,TRUE,GBIF_BGCI=1731,GBIF_CURRENT=222,,URBANPLANTS=8,PLANTSEARCH=7
Quercus shumardii,9.98333,9,14.1918,31.6675,4.11533,977.125,166,TRUE,GBIF_BGCI=417,GBIF_CURRENT=83,,URBANPLANTS=28,PLANTSEARCH=14
Quercus variabilis,9.98333,9,14.433,28.9985,5.05941,1196.75,128.25,TRUE,GBIF_BGCI=1129,GBIF_CURRENT=998,,URBANPLANTS=13,PLANTSEARCH=17
Rehderodendron macrocarpum,9.98333,9,14.3662,26.15,6.33333,1274.17,97,TRUE,GBIF_BGCI=5,,GBIF_CURRENT=54,PLANTSEARCH=33,
Rhamnus alpina,9.98333,9,8.99583,23.2,2.3,743,147,TRUE,PLANTSEARCH=2,,,,
Rhododendron maxwellii,9.98333,9,13.934,20.925,9.87919,1807.75,297.75,TRUE,GBIF_CURRENT=4,,PLANTSEARCH=6,,
Rhododendron argipeplum,9.98333,9,6.36111,18.5,0.920835,744,85.25,TRUE,GBIF_BGCI=2,,PLANTSEARCH=19,,
Rhododendron argyrophyllum,9.98333,9,13.4781,25.8333,5.11667,1038.67,82,TRUE,GBIF_BGCI=216,GBIF_CURRENT=34,,PLANTSEARCH=42,
Rhododendron auriculatum,9.98333,9,14.4052,28.1667,5.05278,1187.5,112.833,TRUE,GBIF_BGCI=44,GBIF_CURRENT=28,,PLANTSEARCH=59,
Rhododendron basilicum,9.98333,9,12.4614,23.2,6.19445,991.167,96.1667,TRUE,GBIF_BGCI=16,GBIF_CURRENT=11,,PLANTSEARCH=22,
Rhododendron calophytum,9.98333,9,13.2552,25.6667,4.89722,1059.5,82.8333,TRUE,GBIF_BGCI=154,GBIF_CURRENT=38,,PLANTSEARCH=69,
Rhododendron campanulatum,9.98333,9,5.75104,18.4167,-0.883333,803.5,95.6667,TRUE,GBIF_BGCI=52,GBIF_CURRENT=35,,PLANTSEARCH=59,
Rhododendron canescens,9.98333,9,16.315,30.932,6.75217,1286.25,255.5,TRUE,GBIF_CURRENT=537,,PLANTSEARCH=79,,
Rhododendron coeloneurum,9.98333,9,14.1541,25.8333,5.10555,1064,103.667,TRUE,GBIF_BGCI=24,GBIF_CURRENT=12,,PLANTSEARCH=8,
Rhododendron cumberlandense,9.98333,9,12.475,28.975,3.20416,1358.75,277.25,TRUE,GBIF_CURRENT=1,,PLANTSEARCH=33,,
Rhododendron cyanocarpum,9.98333,9,13.9505,23.9,7.33333,859.667,92.8333,TRUE,GBIF_BGCI=89,GBIF_CURRENT=16,,PLANTSEARCH=21,
Rhododendron dilatatum,9.98333,9,12.1635,26.0913,3.17067,1441.83,165.667,TRUE,GBIF_BGCI=584,GBIF_CURRENT=395,,PLANTSEARCH=2,
Rhododendron eastmanii,9.98333,9,15.5375,31.6667,5.975,1183.33,240.5,TRUE,GBIF_BGCI=2,GBIF_CURRENT=3,,PLANTSEARCH=21,
Rhododendron erosum,9.98333,9,3.77709,17.2333,-2.65,751,69.3333,TRUE,GBIF_BGCI=1,GBIF_CURRENT=3,,PLANTSEARCH=14,
Rhododendron exasperatum,9.98333,9,7.99375,18.9833,2.10556,1154.67,89.1667,TRUE,GBIF_BGCI=2,GBIF_CURRENT=1,,PLANTSEARCH=1,
Rhododendron faucium,9.98333,9,5.59792,18.0667,-1.26111,720.333,62,TRUE,GBIF_BGCI=18,GBIF_CURRENT=15,,PLANTSEARCH=2,
Rhododendron floribundum,9.98333,9,13.2359,24.8667,5.50833,926.833,70,TRUE,GBIF_BGCI=76,GBIF_CURRENT=26,,PLANTSEARCH=33,
Rhododendron fortunei,9.98333,9,15.4248,29.8765,5.45975,1277.12,141.125,TRUE,GBIF_BGCI=14,GBIF_CURRENT=7,,URBANPLANTS=4,PLANTSEARCH=95
Rhododendron griffithianum,9.98333,9,12.4674,23.25,6.21667,1026,94,TRUE,GBIF_CURRENT=4,,PLANTSEARCH=25,,
Rhododendron hirtipes,9.98333,9,4.76459,17.45,-1.68611,703.333,60.6667,TRUE,GBIF_BGCI=2,GBIF_CURRENT=11,,PLANTSEARCH=18,
Rhododendron hodgsonii,9.98333,9,6.36719,17.4667,1.13611,943.167,97.8333,TRUE,GBIF_BGCI=9,GBIF_CURRENT=5,,PLANTSEARCH=37,
Rhododendron huanum,9.98333,9,14.4722,27,6.00833,1005.75,111.5,TRUE,GBIF_CURRENT=4,,PLANTSEARCH=8,,
Rhododendron irroratum,9.98333,9,14.25,24.2667,8.13333,930.667,83.3333,TRUE,GBIF_BGCI=453,GBIF_CURRENT=71,,PLANTSEARCH=3,
Rhododendron lanigerum,9.98333,9,6.58889,19.8,0.85,631.5,112.5,TRUE,GBIF_CURRENT=1,,PLANTSEARCH=12,,
Rhododendron longipes,9.98333,9,14.7823,27.6333,5.93055,1105.5,103.167,TRUE,GBIF_BGCI=36,GBIF_CURRENT=11,,PLANTSEARCH=7,
Rhododendron maculiferum,9.98333,9,14.4558,28.355,4.76167,1174,119.125,TRUE,GBIF_BGCI=61,GBIF_CURRENT=38,,URBANPLANTS=1,PLANTSEARCH=2
Rhododendron maddenii,9.98333,9,12.939,23.2833,6.84444,1046.5,86.1667,TRUE,GBIF_BGCI=166,GBIF_CURRENT=52,,PLANTSEARCH=27,
Rhododendron magniflorum,9.98333,9,3.38124,11.225,1.97917,424.25,83.5,TRUE,GBIF_CURRENT=1,,PLANTSEARCH=11,,
Rhododendron maoerense,9.98333,9,16.2885,29.0333,6.9,1427,166.667,TRUE,GBIF_BGCI=19,GBIF_CURRENT=2,,PLANTSEARCH=5,
Rhododendron moulmainense,9.98333,9,18.0726,29.235,10.6113,1437.38,108.5,TRUE,GBIF_BGCI=36,GBIF_CURRENT=158,,URBANPLANTS=3,PLANTSEARCH=24
Rhododendron ochraceum,9.98333,9,13.4104,25.6333,5.36667,1050.17,82,TRUE,GBIF_BGCI=2,GBIF_CURRENT=11,,PLANTSEARCH=16,
Rhododendron oligocarpum,9.98333,9,16.0328,28.5667,6.55278,1374.83,174.5,TRUE,GBIF_BGCI=35,GBIF_CURRENT=7,,PLANTSEARCH=12,
Rhododendron orbiculare,9.98333,9,14.0828,26.3667,5.93611,1226,115,TRUE,GBIF_BGCI=81,GBIF_CURRENT=31,,PLANTSEARCH=44,
Rhododendron pachypodum,9.98333,9,15.4885,24.75,8.9111,946.833,86.5,TRUE,GBIF_BGCI=197,GBIF_CURRENT=34,,PLANTSEARCH=23,
Rhododendron pingianum,9.98333,9,13.5917,25.45,5.30556,1166.33,89,TRUE,GBIF_BGCI=53,GBIF_CURRENT=11,,PLANTSEARCH=22,
Rhododendron platypodum,9.98333,9,15.5583,28.1833,6.38611,1225,134.833,TRUE,GBIF_BGCI=47,,GBIF_CURRENT=14,PLANTSEARCH=7,
Rhododendron polylepis,9.98333,9,13.0817,25.55,5.04167,970.333,73.8333,TRUE,GBIF_BGCI=19,GBIF_CURRENT=2,,PLANTSEARCH=32,
Rhododendron qiaojiaense,9.98333,9,3.46667,11.925,2.17917,413,79.5,TRUE,GBIF_CURRENT=1,,PLANTSEARCH=8,,
Rhododendron ririei,9.98333,9,13.8406,25.9,5.53056,1193,90.5,TRUE,GBIF_BGCI=73,GBIF_CURRENT=14,,PLANTSEARCH=26,
Rhododendron sikangense,9.98333,9,12.4849,23.4167,5.5,902.333,73.1667,TRUE,GBIF_BGCI=2,GBIF_CURRENT=5,,PLANTSEARCH=17,
Rhododendron strigillosum,9.98333,9,13.2354,25.5333,5.16667,1033.5,82.6667,TRUE,GBIF_BGCI=74,GBIF_CURRENT=2,,PLANTSEARCH=33,
Rhododendron weyrichii,9.98333,9,13.9031,27.8333,4.98056,1780,188.833,TRUE,GBIF_BGCI=225,GBIF_CURRENT=88,,PLANTSEARCH=36,
Rhododendron zaleucum,9.98333,9,12.4896,22.4333,6.06111,1177,102.333,TRUE,GBIF_BGCI=49,GBIF_CURRENT=21,,PLANTSEARCH=2,
Rhus copallinum,9.98333,9,13.1805,30.2475,3.03117,1033.62,203.375,TRUE,GBIF_BGCI=158,GBIF_CURRENT=4622,,URBANPLANTS=2,PLANTSEARCH=42
Salix bebbiana,9.98333,9,4.31451,25.321,-8.6055,741.875,113.875,TRUE,GBIF_BGCI=3393,GBIF_CURRENT=4454,,URBANPLANTS=1,PLANTSEARCH=23
